top_k,dataset_key,dataset_label,dataset_short,method,qps_source_design,trace_design,qps,recall,power_w,total_energy_nj,energy_efficiency_qps_per_w,energy_efficiency_norm_to_cpu,config_ref,trace_table_ref,data_status
k10,wiki1m,Wiki1M,WK,NMP-FPMA,ndp_fpma,ndp_fpma,185177.72663786227,0.9045,9.206025514194568,49714540.0872,20114.839607205176,2.4990700451936414,simulator/run_case/figure14_recall_gt0895/configs/final/k10/wiki1m/ndp_fpma.yaml,simulator/run_case/figure14_recall_gt0895/results/paper_energy/k10/execution_traces.csv,derived_copy_from_ndp_base
k10,wiki1m,Wiki1M,WK,NMP-FPSA,ndp_fpma,ndp_fpma,185177.72663786227,0.9045,9.102733139826313,49156738.79952,20343.09078310469,2.5274279982079113,simulator/run_case/figure14_recall_gt0895/configs/final/k10/wiki1m/ndp_fpma.yaml,simulator/run_case/figure14_recall_gt0895/results/paper_energy/k10/execution_traces.csv,derived_copy_from_ndp_base
k10,wiki1m,Wiki1M,WK,NMP-Base-ET,ndp_et,ndp_et,287090.88651512575,0.9041,10.720700281593096,37342530.8331,26779.11693959455,3.3270406469712266,simulator/run_case/figure14_recall_gt0895/configs/final/k10/wiki1m/ndp_et.yaml,simulator/run_case/figure14_recall_gt0895/results/paper_energy/k10/execution_traces.csv,measured_reused
k10,wiki1m,Wiki1M,WK,NMP-FPSA-ET,ndp_et,ndp_et,287090.88651512575,0.9041,8.557460324329446,29807495.55726,33548.60853972138,4.168083081781747,simulator/run_case/figure14_recall_gt0895/configs/final/k10/wiki1m/ndp_et.yaml,simulator/run_case/figure14_recall_gt0895/results/paper_energy/k10/execution_traces.csv,measured_reused
k10,wiki1m,Wiki1M,WK,MFNNS,mfnns,mfnns,335005.00832487445,0.9041,9.125219704997939,27239054.57601,36711.993700424566,4.561102427245065,simulator/run_case/figure14_recall_gt0895/configs/final/k10/wiki1m/mfnns.yaml,simulator/run_case/figure14_recall_gt0895/results/paper_energy/k10/execution_traces.csv,measured_completion
k10,pubmed,PubMed,PM,CPU,cpu,cpu,700.796615836323,0.9378,1.752447357964102,2500650428.9019012,399.89595844434973,1.0,simulator/run_case/figure14_recall_gt0895/configs/final/k10/pubmed/cpu.yaml,simulator/run_case/figure14_recall_gt0895/results/paper_energy/k10/execution_traces.csv,historical_cpu_energy_estimate
k10,pubmed,PubMed,PM,CAGRA,gpu_cagra,,19111.671509397303,0.9049999999999966,150.8468,,126.69590279274935,0.3168221636588022,,MFANNS/gpu_cagra/gpu_ada_6000,external_measurement
k10,pubmed,PubMed,PM,BANG,bang,,19607.0,0.9145,65.07776785714275,,301.2856870420148,0.7534101825236182,,MFANNS/figure/evaluation/power/data/BANG.csv,external_measurement
k10,pubmed,PubMed,PM,ANSMET,ansmet,ansmet,10625.694131770482,0.9342,11.796936535738679,1110227378.037,900.7163935806612,2.252376835926454,simulator/run_case/figure14_recall_gt0895/configs/final/k10/pubmed/ansmet.yaml,simulator/run_case/figure14_recall_gt0895/results/paper_energy/k10/execution_traces.csv,measured_completion
k10,pubmed,PubMed,PM,NMP-Base,ndp_base,ndp_base,9092.962860566098,0.9022,11.016573260278653,1211549351.868,825.3894061006863,2.064010372376767,simulator/run_case/figure14_recall_gt0895/configs/final/k10/pubmed/ndp_base.yaml,simulator/run_case/figure14_recall_gt0895/results/paper_energy/k10/execution_traces.csv,measured_completion
k10,pubmed,PubMed,PM,NMP-FPMA,ndp_fpma,ndp_fpma,9092.962860566098,0.9022,10.085632012103098,1109168943.804,901.5759101317833,2.2545261863586656,simulator/run_case/figure14_recall_gt0895/configs/final/k10/pubmed/ndp_fpma.yaml,simulator/run_case/figure14_recall_gt0895/results/paper_energy/k10/execution_traces.csv,derived_copy_from_ndp_base
k10,pubmed,PubMed,PM,NMP-FPSA,ndp_fpma,ndp_fpma,9092.962860566098,0.9022,9.967148580517119,1096138710.0504,912.2932990424364,2.281326629534799,simulator/run_case/figure14_recall_gt0895/configs/final/k10/pubmed/ndp_fpma.yaml,simulator/run_case/figure14_recall_gt0895/results/paper_energy/k10/execution_traces.csv,derived_copy_from_ndp_base
k10,pubmed,PubMed,PM,NMP-Base-ET,ndp_et,ndp_et,21102.765084757673,0.904,12.526433050195777,593592024.5467501,1684.658753229664,4.2127426338171015,simulator/run_case/figure14_recall_gt0895/configs/final/k10/pubmed/ndp_et.yaml,simulator/run_case/figure14_recall_gt0895/results/paper_energy/k10/execution_traces.csv,measured_reused
k10,pubmed,PubMed,PM,NMP-FPSA-ET,ndp_et,ndp_et,21102.765084757673,0.904,9.667035502628297,458093309.75355005,2182.961372079393,5.458823291366617,simulator/run_case/figure14_recall_gt0895/configs/final/k10/pubmed/ndp_et.yaml,simulator/run_case/figure14_recall_gt0895/results/paper_energy/k10/execution_traces.csv,measured_reused
k10,pubmed,PubMed,PM,MFNNS,mfnns,mfnns,23618.938657010614,0.904,10.076054333001764,426609107.17980003,2344.0662263652443,5.861690214334709,simulator/run_case/figure14_recall_gt0895/configs/final/k10/pubmed/mfnns.yaml,simulator/run_case/figure14_recall_gt0895/results/paper_energy/k10/execution_traces.csv,measured_completion
