source	dataset	paper_dataset	recall_tag	paper_metric	series	pdf_page_1based	pdf_page_0based	drawing_index	point_index	pdf_x	pdf_y	recall	log10_qps	qps	plot_default
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	PQ8	17	16	339	5	135.02316284179688	107.70734405517578	0.932197381483322	5.788214912637432	614065.8032997469	0
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	PQ8	17	16	339	6	137.55294799804688	111.05328369140625	0.9519973701822431	5.596558386332557	394964.79464894993	0
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	PQ8	17	16	339	7	138.17898559570312	114.77340698242188	0.9568972081499334	5.383468496825416	241806.79279673155	0
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	PQ8	17	16	339	8	138.70281982421875	119.02681732177734	0.960997126192022	5.139831749239466	137984.95911738763	0
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	PQ8	17	16	339	9	138.71560668945312	124.06156921386719	0.9610972057527347	4.851439499721199	71029.62138473331	0
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	+HNSW	17	16	350	0	69.185546875	101.93344116210938	0.4169030099886172	6.118945975363201	1315061.233234503	1
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	+HNSW	17	16	350	1	86.67665100097656	102.95338439941406	0.5538014589222631	6.060523290215722	1149537.8888439718	1
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	+HNSW	17	16	350	2	103.70782470703125	104.19910430908203	0.6871001487640175	5.989168042783714	975366.9661921008	1
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	+HNSW	17	16	350	3	118.98859405517578	104.368896484375	0.8066988663296525	5.979442290962602	953766.9978914539	1
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	+HNSW	17	16	350	4	130.30862426757812	106.09243774414062	0.8952978802511575	5.880717278947157	759831.4737565177	1
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	+HNSW	17	16	350	5	137.8468017578125	110.6685562133789	0.9542972892517023	5.618595703208909	415523.60792290943	1
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	+HNSW	17	16	350	6	141.34756469726562	114.28305053710938	0.9816968755238906	5.411556275798524	257962.32098690158	1
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	+HNSW	17	16	350	7	142.93185424804688	118.56715393066406	0.9940967092108695	5.166161419941338	146609.266163891	1
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	+HNSW	17	16	350	8	143.41738891601562	123.5542984008789	0.9978968662775534	4.880496139255412	75944.46714079296	1
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	+HNSW	17	16	350	9	143.46849060058594	128.58477783203125	0.9982968262403542	4.592348617709278	39115.475831002484	1
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	JUNO-H	17	16	361	0	92.57943725585938	94.30508422851562	0.6000010742730284	6.555900777379116	3596671.5314314472	1
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	JUNO-H	17	16	361	1	107.91131591796875	97.38133239746094	0.7199998115148061	6.379692267300908	2397133.754318016	1
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	JUNO-H	17	16	361	2	121.96553039550781	102.80169677734375	0.829998594273094	6.069212007254919	1172767.7296922202	1
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	JUNO-H	17	16	361	3	124.52084350585938	103.50752258300781	0.8499983838133902	6.028782072230055	1068518.565012564	1
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	JUNO-H	17	16	361	4	132.18678283691406	105.93589782714844	0.909997752434279	5.88968393704042	775682.3990987783	1
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	JUNO-H	17	16	361	5	133.46444702148438	106.95465087890625	0.9199977069177689	5.831329426113749	678155.7151441802	1
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	JUNO-H	17	16	361	6	135.3809356689453	107.48265075683594	0.9349975789296621	5.801085418900454	632536.2490833366	1
