source	dataset	paper_dataset	recall_tag	paper_metric	series	recall	qps	source_detail
mfnns_006_current_best_frontier	sift1m	SIFT1M	r100	R100@1000	MFNNS frontier	0.72682	2416743.197	sift1m_r100_mfnns_lbqfill_ef010_q080
mfnns_006_current_best_frontier	sift1m	SIFT1M	r100	R100@1000	MFNNS frontier	0.72937	2355892.972	sift1m_r100_mfnns_lbqfill_ef010_q160
mfnns_006_current_best_frontier	sift1m	SIFT1M	r100	R100@1000	MFNNS frontier	0.73563	2167293.376	sift1m_r100_mfnns_subef_ef010_q001
mfnns_006_current_best_frontier	sift1m	SIFT1M	r100	R100@1000	MFNNS frontier	0.76582	2150977.081	sift1m_r100_mfnns_lbqfill_ef012_q024
mfnns_006_current_best_frontier	sift1m	SIFT1M	r100	R100@1000	MFNNS frontier	0.76599	2148810.499	sift1m_r100_mfnns_lbqfill_ef012_q048
mfnns_006_current_best_frontier	sift1m	SIFT1M	r100	R100@1000	MFNNS frontier	0.76657	2128372.806	sift1m_r100_mfnns_lbqfill_ef012_q096
mfnns_006_current_best_frontier	sift1m	SIFT1M	r100	R100@1000	MFNNS frontier	0.76993	2066254.449	sift1m_r100_mfnns_lbqfill_ef012_q192
mfnns_006_current_best_frontier	sift1m	SIFT1M	r100	R100@1000	MFNNS frontier	0.77625	1904086.407	sift1m_r100_mfnns_lbqfill_ef012_q001
mfnns_006_current_best_frontier	sift1m	SIFT1M	r100	R100@1000	MFNNS frontier	0.81158	1867853.999	sift1m_r100_mfnns_lbqfill_ef015_q030
mfnns_006_current_best_frontier	sift1m	SIFT1M	r100	R100@1000	MFNNS frontier	0.8116	1867635.97	sift1m_r100_mfnns_lbqfill_ef015_q015
mfnns_006_current_best_frontier	sift1m	SIFT1M	r100	R100@1000	MFNNS frontier	0.81227	1831610.856	sift1m_r100_mfnns_lbqfill_ef015_q120
mfnns_006_current_best_frontier	sift1m	SIFT1M	r100	R100@1000	MFNNS frontier	0.81612	1757762.72	sift1m_r100_mfnns_lbqfill_ef015_q240
mfnns_006_current_best_frontier	sift1m	SIFT1M	r100	R100@1000	MFNNS frontier	0.82122	1622968.247	sift1m_r100_mfnns_lbqfill_ef015_q001
