top_k,top_k_label,dataset_key,dataset_label,dataset_short,design,design_label,plot_included,qps,cpu_qps,qps_speedup_vs_cpu,recall,data_status,source,stats_ref,run_ref,note
k5,Recall@5,w2v1m,W2V1M,W2V,bang,BANG,True,32258.06,21507.86,1.5,0.9368,external_measurement,BANG:tuning_004,,,uses supplied BANG speedup
k5,Recall@5,w2v1m,W2V1M,W2V,ansmet,ANSMET,True,413207.3464134119,30913.275934335412,13.366663154404222,0.9144,measured,sim,MFANNS/simulator/memory/20260331/eight_config_k5_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/logs/w2v1m_normalized_ansmet_stats.yml,MFANNS/simulator/memory/20260331/eight_config_k5_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/runs/formal_submit/25_w2v1m_normalized_ansmet/slurm-9624190.out,
k5,Recall@5,w2v1m,W2V1M,W2V,ndp_base,NMP-Base,True,342707.9669749468,30913.275934335412,11.086109660552042,0.9162,measured,sim,MFANNS/simulator/memory/20260331/eight_config_k5_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/logs/w2v1m_normalized_ndp_base_stats.yml,MFANNS/simulator/memory/20260331/eight_config_k5_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/runs/formal_submit/26_w2v1m_normalized_ndp_base/slurm-9624191.out,
k5,Recall@5,w2v1m,W2V1M,W2V,ndp_fpma,NMP-FPMA/FPSA,True,342707.9669749468,30913.275934335412,11.086109660552042,0.9162,derived_copy_no_direct_test,sim;copied_from=ndp_base,MFANNS/simulator/memory/20260331/eight_config_k5_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/logs/w2v1m_normalized_ndp_base_stats.yml,MFANNS/simulator/memory/20260331/eight_config_k5_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/runs/formal_submit/26_w2v1m_normalized_ndp_base/slurm-9624191.out,copied_from=ndp_base
k5,Recall@5,w2v1m,W2V1M,W2V,ndp_et,NMP-FPSA-ET,True,712949.5704033244,30913.275934335412,23.062892846353126,0.9082,measured,sim,MFANNS/simulator/memory/20260331/eight_config_k5_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/logs/w2v1m_normalized_ndp_et_stats.yml,MFANNS/simulator/memory/20260331/eight_config_k5_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/runs/formal_submit/28_w2v1m_normalized_ndp_et/slurm-9624193.out,
k5,Recall@5,w2v1m,W2V1M,W2V,mfnns,MFNNS,True,787654.3064014635,30913.275934335412,25.479483574454008,0.9082,measured,sim,MFANNS/simulator/memory/20260331/eight_config_k5_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/logs/w2v1m_normalized_mfnns_stats.yml,MFANNS/simulator/memory/20260331/eight_config_k5_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/runs/formal_submit/30_w2v1m_normalized_mfnns/slurm-9624195.out,
k5,Recall@5,wiki1m,Wiki1M,WK,cpu,CPU,True,22087.687345693346,22087.687345693346,1.0,0.8888,measured,sim,MFANNS/simulator/memory/20260329/eight_config_k5_nq1000/logs/wiki1m_normalized_cpu_stats.yml,MFANNS/simulator/memory/20260329/eight_config_k5_nq1000/runs/formal_submit/31_wiki1m_normalized_cpu/slurm-9615214.out,
k5,Recall@5,wiki1m,Wiki1M,WK,gpu_cagra,CAGRA,True,401658.4411963535,22087.687345693346,18.18472142012952,0.897999999999998,external_measurement,gpu,,MFANNS/gpu_cagra/gpu_ada_6000,
k5,Recall@5,wiki1m,Wiki1M,WK,bang,BANG,True,23326.57,23326.57,1.0,0.938,external_measurement,BANG:r16_baseline_002,,,uses supplied BANG speedup
k5,Recall@5,wiki1m,Wiki1M,WK,ansmet,ANSMET,True,261222.44266493912,22087.687345693346,11.8266090322884,0.8836,measured,sim,MFANNS/simulator/memory/20260331/eight_config_k5_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/logs/wiki1m_normalized_ansmet_stats.yml,MFANNS/simulator/memory/20260331/eight_config_k5_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/runs/formal_submit/31_wiki1m_normalized_ansmet/slurm-9624196.out,
k5,Recall@5,wiki1m,Wiki1M,WK,ndp_base,NMP-Base,True,239736.3619227935,22087.687345693346,10.85384622530603,0.8886,measured,sim,MFANNS/simulator/memory/20260331/eight_config_k5_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/logs/wiki1m_normalized_ndp_base_stats.yml,MFANNS/simulator/memory/20260331/eight_config_k5_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/runs/formal_submit/32_wiki1m_normalized_ndp_base/slurm-9624197.out,
k5,Recall@5,wiki1m,Wiki1M,WK,ndp_fpma,NMP-FPMA/FPSA,True,239736.3619227935,22087.687345693346,10.85384622530603,0.8886,derived_copy_no_direct_test,sim;copied_from=ndp_base,MFANNS/simulator/memory/20260331/eight_config_k5_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/logs/wiki1m_normalized_ndp_base_stats.yml,MFANNS/simulator/memory/20260331/eight_config_k5_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/runs/formal_submit/32_wiki1m_normalized_ndp_base/slurm-9624197.out,copied_from=ndp_base
