dataset,dataset_label,recall_tag,recall_label,method,method_label,recall_raw,recall_2dp,qps,cycle,ef,lbq,data_status,config_ref
deep1b,DEEP1B,r10,Recall@10,bang,BANG,0.979500,0.98,15243.900000,,512,,external_frozen_plot_input,
deep1b,DEEP1B,r10,Recall@10,ansmet,ANSMET,0.657000,0.66,1217211.368754,197172,10,,verified_original_yaml_stats,ae/figure18/configs/deep1b/r10/ansmet/ansmet_ef0010_queue0033.yaml
deep1b,DEEP1B,r10,Recall@10,ansmet,ANSMET,0.740000,0.74,976216.915399,245847,14,,verified_original_yaml_stats,ae/figure18/configs/deep1b/r10/ansmet/ansmet_ef0014_queue0033.yaml
deep1b,DEEP1B,r10,Recall@10,ansmet,ANSMET,0.790000,0.79,682745.318927,351522,22,,verified_original_yaml_stats,ae/figure18/configs/deep1b/r10/ansmet/ansmet_ef0022_queue0033.yaml
deep1b,DEEP1B,r10,Recall@10,ansmet,ANSMET,0.840000,0.84,501649.171652,478422,30,,verified_original_yaml_stats,ae/figure18/configs/deep1b/r10/ansmet/ansmet_ef0030_queue0033.yaml
deep1b,DEEP1B,r10,Recall@10,ansmet,ANSMET,0.870000,0.87,367775.509829,652572,40,,verified_original_yaml_stats,ae/figure18/configs/deep1b/r10/ansmet/ansmet_ef0040_queue0033.yaml
deep1b,DEEP1B,r10,Recall@10,ansmet,ANSMET,0.890000,0.89,285002.796590,842097,50,,verified_original_yaml_stats,ae/figure18/configs/deep1b/r10/ansmet/ansmet_ef0050_queue0033.yaml
deep1b,DEEP1B,r10,Recall@10,ansmet,ANSMET,0.910000,0.91,227208.824791,1056297,60,,verified_original_yaml_stats,ae/figure18/configs/deep1b/r10/ansmet/ansmet_ef0060_queue0033.yaml
deep1b,DEEP1B,r10,Recall@10,ansmet,ANSMET,0.940000,0.94,154121.893721,1557209,80,,verified_original_yaml_stats,ae/figure18/configs/deep1b/r10/ansmet/ansmet_ef0080_queue0033.yaml
deep1b,DEEP1B,r10,Recall@10,ansmet,ANSMET,0.960000,0.96,85287.937407,2813997,120,,verified_original_yaml_stats,ae/figure18/configs/deep1b/r10/ansmet/ansmet_ef0120_queue0033.yaml
deep1b,DEEP1B,r10,Recall@10,ansmet,ANSMET,0.970000,0.97,55487.198410,4325322,160,,verified_original_yaml_stats,ae/figure18/configs/deep1b/r10/ansmet/ansmet_ef0160_queue0033.yaml
deep1b,DEEP1B,r10,Recall@10,ansmet,ANSMET,0.978000,0.98,39912.213087,6013197,200,,verified_original_yaml_stats,ae/figure18/configs/deep1b/r10/ansmet/ansmet_ef0200_queue0033.yaml
deep1b,DEEP1B,r10,Recall@10,ansmet,ANSMET,0.981000,0.98,29333.050758,8181897,250,,verified_original_yaml_stats,ae/figure18/configs/deep1b/r10/ansmet/ansmet_ef0250_queue0033.yaml
deep1b,DEEP1B,r10,Recall@10,ansmet,ANSMET,0.983000,0.98,22657.279756,10592622,300,,verified_original_yaml_stats,ae/figure18/configs/deep1b/r10/ansmet/ansmet_ef0300_queue0033.yaml
deep1b,DEEP1B,r10,Recall@10,ansmet,ANSMET,0.987000,0.99,15738.507840,15249222,400,,verified_original_yaml_stats,ae/figure18/configs/deep1b/r10/ansmet/ansmet_ef0400_queue0033.yaml
deep1b,DEEP1B,r10,Recall@10,mfnns,MFNNS,0.642000,0.64,1779794.878640,134847,10,5,verified_original_yaml_stats,ae/figure18/configs/deep1b/r10/mfnns/mfnns_ef0010_lbq0005.yaml
deep1b,DEEP1B,r10,Recall@10,mfnns,MFNNS,0.683000,0.68,1503081.316699,159672,12,6,verified_original_yaml_stats,ae/figure18/configs/deep1b/r10/mfnns/mfnns_ef0012_lbq0006.yaml
deep1b,DEEP1B,r10,Recall@10,mfnns,MFNNS,0.722000,0.72,1310959.622444,183072,14,10,verified_original_yaml_stats,ae/figure18/configs/deep1b/r10/mfnns/mfnns_ef0014_lbq0010.yaml
deep1b,DEEP1B,r10,Recall@10,mfnns,MFNNS,0.750000,0.75,1160277.886554,206847,16,8,verified_original_yaml_stats,ae/figure18/configs/deep1b/r10/mfnns/mfnns_ef0016_lbq0008.yaml
deep1b,DEEP1B,r10,Recall@10,mfnns,MFNNS,0.760000,0.76,1075283.269936,223197,18,10,verified_original_yaml_stats,ae/figure18/configs/deep1b/r10/mfnns/mfnns_ef0018_lbq0010.yaml
deep1b,DEEP1B,r10,Recall@10,mfnns,MFNNS,0.800000,0.80,929162.940336,258297,22,10,verified_original_yaml_stats,ae/figure18/configs/deep1b/r10/mfnns/mfnns_ef0022_lbq0010.yaml
deep1b,DEEP1B,r10,Recall@10,mfnns,MFNNS,0.832000,0.83,677684.690256,354147,30,15,verified_original_yaml_stats,ae/figure18/configs/deep1b/r10/mfnns/mfnns_ef0030_lbq0015.yaml
deep1b,DEEP1B,r10,Recall@10,mfnns,MFNNS,0.860000,0.86,560228.012801,428397,35,20,verified_original_yaml_stats,ae/figure18/configs/deep1b/r10/mfnns/mfnns_ef0035_lbq0020.yaml
deep1b,DEEP1B,r10,Recall@10,mfnns,MFNNS,0.880000,0.88,439080.346215,546597,40,40,reconstructed_from_same_panel_template,ae/figure18/configs/deep1b/r10/mfnns/mfnns_ef0040_lbq0040.yaml
deep1b,DEEP1B,r10,Recall@10,mfnns,MFNNS,0.920000,0.92,273061.773400,878922,60,60,reconstructed_from_same_panel_template,ae/figure18/configs/deep1b/r10/mfnns/mfnns_ef0060_lbq0060.yaml
deep1b,DEEP1B,r10,Recall@10,mfnns,MFNNS,0.930000,0.93,206292.434999,1163397,80,40,verified_original_yaml_stats,ae/figure18/configs/deep1b/r10/mfnns/mfnns_ef0080_lbq0040.yaml
deep1b,DEEP1B,r10,Recall@10,mfnns,MFNNS,0.950000,0.95,118848.830230,2019372,100,120,original_yaml_cycle_mismatch,ae/figure18/configs/deep1b/r10/mfnns/mfnns_ef0100_lbq0120.yaml
deep1b,DEEP1B,r10,Recall@10,mfnns,MFNNS,0.960000,0.96,96478.649878,2487597,120,180,verified_original_yaml_stats,ae/figure18/configs/deep1b/r10/mfnns/mfnns_ef0120_lbq0180.yaml
