case_order	method	config_ref	ef_search	queue_size	warmup_size	recall	s_mem_cycle	final_status	slurm_job_id
196	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef40_q53.yaml	40	53	52	0.88700000000000001	509622	PASS	9616630
197	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef40_q54.yaml	40	54	53	0.88800000000000001	512172	PASS	9616631
198	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef40_q55.yaml	40	55	54	0.89300000000000002	514272	PASS	9616632
199	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef40_q56.yaml	40	56	55	0.89200000000000002	517497	PASS	9616633
200	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef40_q57.yaml	40	57	56	0.89200000000000002	526047	PASS	9616634
201	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef40_q58.yaml	40	58	57	0.89500000000000002	528222	PASS	9616635
202	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef40_q59.yaml	40	59	58	0.89700000000000002	525297	PASS	9616636
203	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef40_q60.yaml	40	60	59	0.89800000000000002	532722	PASS	9616637
204	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef40_q61.yaml	40	61	60	0.90000000000000002	539172	PASS	9616638
205	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef40_q62.yaml	40	62	61	0.90000000000000002	543672	PASS	9616639
206	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef40_q63.yaml	40	63	62	0.90000000000000002	541422	PASS	9616640
207	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef40_q64.yaml	40	64	63	0.90100000000000002	539172	PASS	9616641
208	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef40_q65.yaml	40	65	64	0.90400000000000003	544197	PASS	9616642
209	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef40_q66.yaml	40	66	65	0.90500000000000003	549522	PASS	9616643
210	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef40_q67.yaml	40	67	66	0.90800000000000003	550197	PASS	9616644
211	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef40_q68.yaml	40	68	67	0.90900000000000003	553947	PASS	9616645
212	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef40_q69.yaml	40	69	68	0.91100000000000003	557097	PASS	9616646
213	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef40_q70.yaml	40	70	69	0.91100000000000003	554622	PASS	9616647
214	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef40_q71.yaml	40	71	70	0.91200000000000003	558897	PASS	9616648
215	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef40_q72.yaml	40	72	71	0.91200000000000003	565647	PASS	9616649
216	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef40_q73.yaml	40	73	72	0.91200000000000003	564447	PASS	9616650
217	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef40_q74.yaml	40	74	73	0.91300000000000003	564747	PASS	9616651
218	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef40_q75.yaml	40	75	74	0.91300000000000003	567522	PASS	9616652
219	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef40_q76.yaml	40	76	75	0.91300000000000003	571722	PASS	9616653
220	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef40_q77.yaml	40	77	76	0.91400000000000003	574722	PASS	9616654
221	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef40_q78.yaml	40	78	77	0.91500000000000004	576522	PASS	9616655
222	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef40_q79.yaml	40	79	78	0.91500000000000004	576972	PASS	9616656
223	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef40_q80.yaml	40	80	79	0.91600000000000004	578247	PASS	9616657
224	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef40_q81.yaml	40	81	80	0.91600000000000004	581997	PASS	9616658
225	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef40_q82.yaml	40	82	81	0.91600000000000004	582597	PASS	9616659
226	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef40_q83.yaml	40	83	82	0.91600000000000004	583272	PASS	9616660
227	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef40_q84.yaml	40	84	83	0.91600000000000004	588522	PASS	9616661
228	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef40_q85.yaml	40	85	84	0.91600000000000004	587622	PASS	9616662
229	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef40_q86.yaml	40	86	85	0.91600000000000004	592872	PASS	9616663
230	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef40_q87.yaml	40	87	86	0.91600000000000004	590622	PASS	9616664
231	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef40_q88.yaml	40	88	87	0.91600000000000004	594072	PASS	9616665
232	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef40_q89.yaml	40	89	88	0.91600000000000004	594147	PASS	9616666
233	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef40_q90.yaml	40	90	89	0.91600000000000004	600597	PASS	9616667
234	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef40_q91.yaml	40	91	90	0.91600000000000004	600897	PASS	9616668
235	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef40_q92.yaml	40	92	91	0.91600000000000004	600972	PASS	9616669
236	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef40_q93.yaml	40	93	92	0.91700000000000004	605922	PASS	9616670
237	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef40_q94.yaml	40	94	93	0.91700000000000004	602922	PASS	9616671
238	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef40_q95.yaml	40	95	94	0.91700000000000004	602772	PASS	9616672
239	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef40_q96.yaml	40	96	95	0.91700000000000004	606972	PASS	9616673
240	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef40_q97.yaml	40	97	96	0.91800000000000004	610872	PASS	9616674
241	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef40_q98.yaml	40	98	97	0.91800000000000004	612147	PASS	9616675
242	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef40_q99.yaml	40	99	98	0.91800000000000004	613047	PASS	9616676
243	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef40_q100.yaml	40	100	99	0.91800000000000004	618147	PASS	9616677
